target,token_normalization,entity_replacement,balance,feature_method,model,accuracy,precision_macro,recall_macro,f1_macro
causality,lemm,True,none,Doc2Vec,Logistic Regression,0.7484276729559748,0.7069247546346783,0.642454954954955,0.6541974771639844
causality,lemm,True,none,Doc2Vec,Random Forest,0.7735849056603774,0.7732249502322495,0.6545608108108109,0.6702764976958525
causality,lemm,True,none,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,lemm,True,none,BOW,Logistic Regression,0.949685534591195,0.9511857707509881,0.928490990990991,0.938822624086187
causality,lemm,True,none,BOW,"Naive Bayes, Multinomial",0.949685534591195,0.9511857707509881,0.928490990990991,0.938822624086187
causality,lemm,True,none,BOW,"Naive Bayes, Complement",0.9371069182389937,0.9299730665640631,0.9194819819819819,0.9244870820668692
causality,lemm,True,none,BOW,Random Forest,0.9371069182389937,0.9496848739495798,0.9017454954954955,0.9214426877470355
causality,lemm,True,none,BOW,Support Vector Machines,0.9371069182389937,0.942002442002442,0.9076576576576576,0.922514619883041
causality,lemm,True,smote,Doc2Vec,Logistic Regression,0.7484276729559748,0.7069247546346783,0.642454954954955,0.6541974771639844
causality,lemm,True,smote,Doc2Vec,Random Forest,0.7735849056603774,0.7732249502322495,0.6545608108108109,0.6702764976958525
causality,lemm,True,smote,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,lemm,True,smote,BOW,Logistic Regression,0.9119496855345912,0.8955518018018018,0.8955518018018018,0.8955518018018018
causality,lemm,True,smote,BOW,"Naive Bayes, Multinomial",0.949685534591195,0.9362385321100918,0.9462274774774775,0.9410018552875696
causality,lemm,True,smote,BOW,"Naive Bayes, Complement",0.949685534591195,0.9362385321100918,0.9462274774774775,0.9410018552875696
causality,lemm,True,smote,BOW,Random Forest,0.9056603773584906,0.8839869281045751,0.8969594594594594,0.8899958488999584
causality,lemm,True,smote,BOW,Support Vector Machines,0.9056603773584906,0.8865491651205937,0.8910472972972973,0.8887437607874236
causality,lemm,True,ada,Doc2Vec,Logistic Regression,0.7484276729559748,0.7069247546346783,0.642454954954955,0.6541974771639844
causality,lemm,True,ada,Doc2Vec,Random Forest,0.7735849056603774,0.7732249502322495,0.6545608108108109,0.6702764976958525
causality,lemm,True,ada,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,lemm,True,ada,BOW,Logistic Regression,0.9119496855345912,0.8955518018018018,0.8955518018018018,0.8955518018018018
causality,lemm,True,ada,BOW,"Naive Bayes, Multinomial",0.9559748427672956,0.9455473098330242,0.9507319819819819,0.9480804217007978
